box,harness,model,seed,holdout_auc,best_eval_auc,frame_stats,n_hits,note,kinds,where,lines
runs,pi,deepseek-4.1-flash,52,0.74204080766,0.735,True,4,,value_counts,prepare,"73: co = np.maximum(df[""Origin""].astype(str).map(df[""Origin""].astype(str).value_counts()).to_numpy(dtype=float), 1.0) | 74: cd = np.maximum(df[""Dest""].astype(str).map(df[""Dest""].astype(str).value_counts()).to_numpy(dtype=float), 1.0) | 76: X[""share_route_within_origin""] = rk.map(rk.value_counts()).to_numpy(dtype=float) / co | 77: X[""share_route_within_dest""] = rk.map(rk.value_counts()).to_numpy(dtype=float) / cd"
runs,pi,glm-5.3-flash,40,0.72678318724,0.7268,False,0,,,,
runs,pi,glm-5.3-flash,41,0.732601664362,0.7324,False,0,,,,
runs,pi,glm-5.3-flash,42,0.723187641802,0.7251,False,0,,,,
runs,pi,glm-5.3-flash,43,0.74546078439,0.7448,False,0,,,,
runs,pi,glm-5.3-flash,44,0.73586266311,0.7364,False,0,,,,
runs,pi,glm-5.3-flash,45,0.7374343631539999,0.736,False,0,,,,
runs,pi,glm-5.3-flash,46,0.7271542467200001,0.7265,False,0,,,,
runs,pi,glm-5.3-flash,47,0.7494886751200001,0.7505,False,0,,,,
runs,pi,glm-5.3-flash,48,0.746019416622,0.7459,False,0,,,,
runs,pi,glm-5.3-flash,49,0.729888300428,0.7282,False,0,,,,
runs,pi,glm-5.3-flash,50,0.7408723870280001,0.7402,False,0,,,,
runs,pi,glm-5.3-flash,51,0.735854861542,0.7355,False,0,,,,
